City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ta`u,-14.2336,-169.5144,300.31,76,3,4.84,AS,1691611207
1,port-aux-francais,-49.35,70.2167,275.38,82,97,13.12,TF,1691611209
2,jamestown,42.097,-79.2353,300.38,56,0,7.72,US,1691610959
3,grytviken,-54.2811,-36.5092,263.45,64,0,3.05,GS,1691611210
4,blackmans bay,-43.0167,147.3167,285.78,69,100,2.08,AU,1691611213
5,edinburgh of the seven seas,-37.0676,-12.3116,283.85,62,65,10.11,SH,1691611213
6,broome,42.2506,-75.833,299.92,74,0,0.89,US,1691611214
7,queenstown,-31.8976,26.8753,284.8,75,0,2.16,ZA,1691611215
8,yeniseysk,58.4497,92.1703,285.77,88,40,1.41,RU,1691610961
9,adamstown,-25.066,-130.1015,291.97,72,14,9.42,PN,1691611216
10,papatowai,-46.5619,169.4708,274.05,99,99,1.97,NZ,1691611217
11,scottburgh,-30.2867,30.7532,291.32,79,100,2.57,ZA,1691610939
12,huanuco,-9.9329,-76.2415,294.54,71,86,3.21,PE,1691611218
13,chui,-33.6971,-53.4616,289.78,80,85,4.76,UY,1691611218
14,west island,-12.1568,96.8225,298.14,83,75,6.17,CC,1691611220
15,ilulissat,69.2167,-51.1,283.16,50,75,1.03,GL,1691611221
16,georgetown,5.4112,100.3354,300.38,94,40,2.57,MY,1691611039
17,cestos city,5.46,-9.5828,299.01,79,100,8.31,LR,1691611222
18,qaqortoq,60.7167,-46.0333,278.75,88,22,3.03,GL,1691611223
19,gagliano del capo,39.8442,18.3695,296.83,50,79,3.6,IT,1691611224
20,batie,9.8833,-2.9167,296.84,91,100,1.56,BF,1691611226
21,yanliang,34.6592,109.2292,299.7,76,2,2.83,CN,1691611226
22,medina,24.4686,39.6142,311.39,19,0,5.66,SA,1691611217
23,invercargill,-46.4,168.35,272.6,95,85,0.89,NZ,1691611243
24,namibe,-15.1961,12.1522,291.5,85,100,3.71,AO,1691611243
25,la ronge,55.1001,-105.2842,293.27,52,40,4.63,CA,1691611243
26,ketchikan,55.3422,-131.6461,287.14,93,100,1.97,US,1691611243
27,ribeira grande,38.5167,-28.7,299.37,73,20,6.17,PT,1691611244
28,palikir - national government center,6.9248,158.1611,300.39,77,100,5.64,FM,1691611244
